"BRANCH";"PRD";"IC";"CFC";"NVA"
"AZ";91376;52408;12116.7;26851.3
"BZ";4921;3014;1453.6;453.4
"CA";161562;116876;6114.1;38570.9
"CB";17027;11471;790.9;4765.1
"CC";36786;25447;2255.9;9083.1
"CD";38878;36892;661.5;1324.5
"CE";66012;46080;5075.5;14856.5
"CF";27322;14732;4328.9;8261.1
"CG";54950;35471;3681.4;15797.6
"CH";87559;61475;5396.1;20687.9
"CI";26002;13916;9217;2869
"CJ";20965;13871;1970.2;5123.8
"CK";38405;26681;2660.9;9063.1
"CL";144733;112089;13243.7;19400.3
"CM";74608;44143;4377.6;26087.4
"DZ";124778;88781;13474.8;22522.2
"EZ";39410;24149;6211.6;9049.4
"FZ";297843;180457;7991.2;109394.8
"GZ";442412;225303;18196.2;198912.8
"HZ";215507;122106;21175.4;72225.6
"IZ";114779;56324;5444.6;53010.4
"JA";56839;29927;10225.7;16686.3
"JB";54383;29250;7486.6;17646.4
"JC";100800;40799;13748.5;46252.5
"KZ";230165;144467;16360.2;69337.8
"LZ";325984;55912;105613.8;164458.2
"MA";256689;139680;16066.1;100942.9
"MB";67110;30849;17388.5;18872.5
"MC";36515;20089;2379.2;14046.8
"NZ";210564;87572;19109.6;103882.4
"OZ";224402;60932;39798.2;123671.8
"PZ";138012;25773;10971.4;101267.6
"QA";170344;48376;8796.1;113171.9
"QB";85537;16511;6243.2;62782.8
"RZ";55003;24264;7166.4;23572.6
"SZ";45932;17826;2599;25507
"TZ";1570;0;0;0
