"ere_data$CNA_PRODUIT";"RESS";"IMP";"TRESS"
"AZ";76783;13235;90018
"BZ";4619;35554;40173
"CA";169428;38710;208138
"CB";16386;36545;52931
"CC";35296;12745;48041
"CD";35430;21066;56496
"CE";64963;43266;108229
"CF";26033;25872;51905
"CG";51176;24276;75452
"CH";80244;36505;116749
"CI";24523;45659;70182
"CJ";19988;24381;44369
"CK";36782;39331;76113
"CL";125598;81999;207597
"CM";69799;28510;98309
"DZ";104347;412;104759
"EZ";48241;1850;50091
"FZ";271600;0;271600
"GZ";406514;9804;416318
"HZ";195533;27308;222841
"IZ";102562;0;102562
"JA";53066;5200;58266
"JB";54284;4166;58450
"JC";81800;9146;90946
"KZ";221634;5973;227607
"LZ";311436;0;311436
"MA";234910;23132;258042
"MB";61083;8452;69535
"MC";33157;4945;38102
"NZ";186699;37718;224417
"OZ";188743;0;188743
"PZ";128344;0;128344
"QA";157535;794;158329
"QB";79385;0;79385
"RZ";48809;708;49517
"SZ";42281;2337;44618
"TZ";3470;0;3470
